wdTermDte	wdName	wdAddr	wdAccount	wdLoc	Bal
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
9/16/2014	Lewis Grisby #366	5763 Ballina Ct	04190035-04	MP-12' W/SW 15' N OF DR	61.4300
9/16/2014	Lewis Grisby #367	5756 Colby Ct	04190150-01	MP-12' E/SIDEWLKS/3' N/S PROP LINE	86.2600
9/16/2014	Lewis Grisby #368	619 Parliament Ct	04195172-01	MXU-S CS N PROP LN 12'W/SW	140.5300
9/16/2014	Lewis Grisby #369	515 Ruby Dr	04293341-01	MXU W CS 7'E/DR 15'S/RD	1112.7400
