wdHangDte	wdName	wdAddr	wdTermDte	wdAccount	Min	Bal	wdHang	wdTerm	wdPriRte	wdSecRte
1/1/1900	Cell 2	2 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 3	3 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 4	4 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 5	5 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 6	6 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 7	7 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 8	8 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 9	9 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 10	10 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 11	11 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 12	12 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 13	13 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 14	14 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 15	15 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 16	16 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 17	17 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 18	18 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 19	19 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 20	20 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 21	21 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
1/1/1900	Cell 22	22 Random Rd	1/2/1900	01234567-89	1	20	TRUE	TRUE	Water 3/4	Sewer Res. 3/4
